filename,wilaya,serial,year
img_1566.jpg,16,010971,2014
img_1564.jpg,06,24031,2013
img_1563.jpg,25,04521,2013
img_1583.jpg,18,07911,2013
img_1574.jpg,09,18941,2010
img_1607.jpg,18,02941,2005
img_1759.jpg,18,09972,2012
img_1814.jpg,18,00399,2010
img_1840.jpg,16,106472,2015
img_0841.jpg,16,37693,2001
img_0719.jpg,16,49207,2011
img_0377.jpg,05,003055,2025
img_0305.jpg,16,142606,2018
img_0893.jpg,16,051623,2000
img_1812.jpg,35,15983,2013
img_1829.jpg,18,01104,2008
img_0100.jpg,16,06210,2007
img_0134.jpg,16,001143,2015
img_0335.jpg,04,014993,2015
img_1777.jpg,18,04739,2007
